Provider,Plan Name,Voice Minutes,Data (MB),SMS,Extras,Monthly Cost,Recipe Date
MEO,Smart Light,500,5000,100,Roaming EU,15.99,2025-05-01
NOS,Pro Max,2000,20000,500,5G Priority,39.99,2025-05-02
Vodafone,Basic S,300,3000,50,,9.99,2025-05-01
MEO,Giga Flex,1500,15000,200,Streaming Apps Incluídos,29.90,2025-05-03
NOS,Starter,200,2000,100,,12.49,2025-05-04
Vodafone,Unlimited Max,5000,Unlimited,1000,Hotspot 30GB,49.99,2025-05-05
MEO,Family Pack,2500,10000,500,Partilha com 4 números,34.90,2025-05-01
NOS,Smart Teen,100,3000,100,Controle Parental,11.99,2025-05-06
Vodafone,Giga Starter,600,8000,200,Spotify Premium,19.90,2025-05-02
MEO,Classic Talk,1000,1000,0,Sem Dados móveis,8.99,2025-05-03
